name,label,HCP_A_CI_lower,HCP_A_CI_upper,DUD_45yo_CI_lower,DUD_45yo_CI_upper,DUD_childhood_CI_lower,DUD_childhood_CI_upper,DUD_residual_CI_lower,DUD_residual_CI_upper,HCP_YA_CI_lower,HCP_YA_CI_upper
"Stacked: All, RF+XGB",rf_xgb_set1,0.702111520329414,0.797293107811529,0.709086552917113,0.790434859218727,0.702137923596133,0.783992039015489,0.750897689649768,0.83750453436079,0.714405320511653,0.787185060144425
"Stacked: Task Contrast, RF+XGB",rf_xgb_set2,0.698487830449318,0.790500314562836,0.705940951440796,0.787732435426066,0.692687197240308,0.77524252843285,0.762479421988684,0.850612712463914,0.699934281831395,0.771225929991315
"Stacked: Non Task, RF+XGB",rf_xgb_set3,0.68913497933839,0.784468872960884,0.731652408435973,0.815687294269041,0.719343558519926,0.803162257047764,0.799029491166947,0.889356395016894,0.741634502726721,0.817860302973546
"Stacked: Task FC, RF+XGB",rf_xgb_set4,0.717769623226669,0.81559676679869,0.733171299922531,0.817381855653273,0.717039901980712,0.801746730183275,0.789030814161989,0.879156347635355,0.699857574927219,0.77285758809308
"Stacked: Task Contrast & Task FC, RF+XGB",rf_xgb_set5,0.703931338263533,0.798327435119449,0.70990339258201,0.790813113813189,0.696211363864313,0.77743026455134,0.754554029246565,0.840715761568071,0.699930732651477,0.771700989187422
"Stacked: All excluding Task FC, RF+XGB",rf_xgb_set6,0.686869870995975,0.778701476820481,0.711626141368394,0.793419649924331,0.702288075220878,0.78522379772189,0.761698270578954,0.848336047001596,0.717247254727995,0.790124089560392
"Stacked: All excluding Task Contrast, RF+XGB",rf_xgb_set7,0.699947070962963,0.79617822087738,0.723634552033368,0.807749499564649,0.718558969240462,0.802751957170798,0.772753918465492,0.85990669352261,0.719954054234049,0.794073855307736
"Stacked: Resting and Task FC, RF+XGB",rf_xgb_set8,0.692824398537509,0.788928298768729,0.722067841923803,0.80617617956181,0.717276454963513,0.800706865471073,0.766448519041474,0.854614023943011,0.713666914474612,0.787732633669786
"Stacked: All, SVR+eNet",svr_eNet_set1,0.645623763807323,0.736009272065721,0.652424457729174,0.727758569152316,0.629469967358887,0.704861365561801,0.774815882747258,0.862384980728663,0.69878872181571,0.769624448607608
"Stacked: Task Contrast, SVR+eNet",svr_eNet_set2,0.655670962066879,0.748883800960373,0.675086482357902,0.753490910565852,0.675989810853271,0.753533617909171,0.785604709597513,0.874448196463668,0.722097068946842,0.794433591814449
"Stacked: Non Task, SVR+eNet",svr_eNet_set3,0.673064988071593,0.766592594325882,0.722513295332885,0.804898136992983,0.705118284349189,0.78836380347756,0.775555549118831,0.86174990612294,0.738175430440971,0.814593704427058
"Stacked: Task FC, SVR+eNet",svr_eNet_set4,0.695309815201292,0.792063237497906,0.720498519321301,0.805087735545774,0.706276534631549,0.79146120558592,0.777150606332248,0.867057631047883,0.682582143858371,0.753004067790103
"Stacked: Task Contrast & Task FC, SVR+eNet",svr_eNet_set5,0.654886250425384,0.74838899143312,0.660366925338845,0.737600174664711,0.661248874433462,0.738991342333196,0.780158931881069,0.868435170230187,0.697558877662434,0.768146425455742
"Stacked: All excluding Task FC, SVR+eNet",svr_eNet_set6,0.644076561026726,0.734272187999267,0.656703605475205,0.732858976038462,0.645344957540043,0.721328601683431,0.779226617347514,0.867730397293282,0.713575868325293,0.786598524138987
"Stacked: All excluding Task Contrast, SVR+eNet",svr_eNet_set7,0.643694525734397,0.734899554293625,0.706979532740807,0.788286973307992,0.697308566747276,0.779194293042334,0.787369235929396,0.874871161210743,0.679678936968399,0.749956023399958
"Stacked: Resting and Task FC, SVR+eNet",svr_eNet_set8,0.657959239625365,0.750381494008964,0.719061631321855,0.802077416372246,0.709129152447152,0.792714620313804,0.772199911266318,0.859996954765576,0.686358322093294,0.757269449854917
"Stacked: All, SVR+RF",svr_rf_set1,0.689861813308653,0.785774190910055,0.696252153692253,0.775121763460754,0.671658614981186,0.75096371453716,0.797202234472172,0.886958556837688,0.701583678375952,0.773487901800477
"Stacked: Task Contrast, SVR+RF",svr_rf_set2,0.671665140263215,0.768257442673953,0.693493351342403,0.77220213699797,0.702993555458872,0.785298826662975,0.804720199210359,0.895436338066797,0.732792123672877,0.807301768576493
"Stacked: Non Task, SVR+RF",svr_rf_set3,0.705083952116585,0.806392464703775,0.75370837124079,0.838800522074826,0.715835649163399,0.800590452068678,0.778179165821998,0.865661001193272,0.765040997436054,0.844759623539842
"Stacked: Task FC, SVR+RF",svr_rf_set4,0.711651987099526,0.810677806404327,0.732980532812199,0.821108858543851,0.71702563305297,0.804609359077516,0.786660170266908,0.876296224089451,0.709063555296293,0.782552556056959
"Stacked: Task Contrast & Task FC, SVR+RF",svr_rf_set5,0.674127426957751,0.770288049478558,0.682098381184058,0.759816460165893,0.691595544839117,0.771923007942776,0.799720296786062,0.889388261922981,0.702969980791742,0.774901676340587
"Stacked: All excluding Task FC, SVR+RF",svr_rf_set6,0.673703946398503,0.767947080401351,0.668026253836684,0.744843284882151,0.676532654179711,0.754214908843613,0.798378769036469,0.887607124647859,0.729626348313786,0.804575864447894
"Stacked: All excluding Task Contrast, SVR+RF",svr_rf_set7,0.683459909572471,0.779616448914936,0.724846861996064,0.809276842586869,0.715327442977565,0.798826279680059,0.791551510274461,0.878542184186884,0.698824082954304,0.768817271453694
"Stacked: Resting and Task FC, SVR+RF",svr_rf_set8,0.672996814707617,0.768807707490696,0.740796077133263,0.825443819407821,0.725929173729464,0.810862025623556,0.790266793652495,0.877936388217803,0.713149936549105,0.786227596791028
