,Fold_0,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7
rf_rf_set6,0.5555589995112908,0.4362560463904598,0.5604033019804073,0.5567959450917549,0.47720092335862596,0.4962442892988499,0.5453636720650863,0.49137651491934176
rf_rf_set7,0.45885884626639867,0.36505935679192414,0.47847658524518816,0.4701041859409234,0.27657698851630974,0.48157471064363555,0.5294516608028468,0.4378194067570488
rf_rf_set8,0.4578710186511198,0.3633244970338986,0.47496326939038547,0.45635171196505336,0.2611499555160538,0.46990226929437307,0.5365629629189778,0.4142274516718077
rf_svr_set1,0.6002972496910945,0.4244890264983342,0.6105358705359574,0.62624291099504,0.5012003670213636,0.49090117624246254,0.6096964493408779,0.5339961497404349
rf_svr_set2,0.5972662015955614,0.42591218304090683,0.5828570467131365,0.5839299415049297,0.5042570543579019,0.3971117458142567,0.5998764717648868,0.5370136869132816
rf_svr_set3,0.31384314940931335,0.2281085666155668,0.24242305355925547,0.35079612292970314,0.34576811341698643,0.4491370529654437,0.41873558923046095,0.26426483445165216
rf_svr_set4,0.5067616935490264,0.3439508762680408,0.5152113596796704,0.5027375102698005,0.21954952357581875,0.4376995432746287,0.5660720162808692,0.47468258214997106
rf_svr_set5,0.5982772694597112,0.42976118915007117,0.5914122264539917,0.6338850430192067,0.45024164836631153,0.44125195629948655,0.6533791306182901,0.586261147307916
rf_svr_set6,0.577431977812086,0.4313112334370405,0.5540848636292166,0.5853772691802472,0.5291647360213574,0.5105538501470442,0.5694172055797257,0.47637136882683606
rf_svr_set7,0.48701713876479286,0.3220377852047358,0.4925627376941161,0.48949114840674746,0.3320021016660465,0.4883719450866331,0.5421435744768273,0.4191535589438728
rf_svr_set8,0.4848490273728141,0.3399127383440641,0.5013166230630173,0.4819933960041485,0.2533124046535599,0.45613617344918855,0.5516824884136449,0.43186681625401585
rf_xgb_set1,0.5118304582376697,0.38909791154113404,0.5476532046263671,0.5499364058428482,0.3813880789111641,0.47753971417058083,0.5423392862842807,0.5173993679838241
rf_xgb_set2,0.5850717990572643,0.39796146393235293,0.5867235729803102,0.5606899570374182,0.4682727397819769,0.3377374683481658,0.5593793157086396,0.505514521901058
