,Fold_0,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7
svr_rel,0.025897758822998385,0.023099182959310016,0.007043779354480306,0.15920892475685267,0.2084942035539319,0.1213563668451757,0.212775562452044,0.023452150954170525
svr_rel_FC_PCA75,0.12836603616287834,0.0782989508847256,0.22842234408423323,0.15882135167666978,-0.03685278745102072,0.11033690610448565,0.038534063274829555,0.15096535321591498
svr_rest_PCA75,0.06801013993304306,0.032478772467791184,0.1337554955536897,0.06656590810901564,-0.03672511448292304,0.07483549316711258,0.027915429142517434,0.07219148980451884
svr_soc,0.05645119804591081,0.017571508869473007,0.12892366832394286,0.05846350366798991,0.08580294894684026,-0.025681117334638515,0.047705423628733534,0.029681520211305212
svr_soc_FC_PCA75,0.2111689514173002,0.14017115141988856,0.20196557056944164,0.12050367825374797,0.1055356499883886,0.16776690342409706,0.19568498545834534,0.1289843208097574
svr_subc,-0.1346297660114213,0.07275488299040678,-0.02022234321630778,-0.015110186966330819,-0.04724603385886361,0.04858303342863357,0.08059113535979012,-0.05276575671432582
svr_surf,0.002363169876997362,0.0012849803000571924,-0.02627851684023841,0.15169478518787838,0.04958772335853734,0.058564339806590815,0.0782131264006436,0.07937412374219999
svr_wm,0.26943255516153863,0.2369697187132237,0.27738016743122795,0.23787786176193282,0.10862707482328793,0.1589714521058776,0.3142153113812063,0.27687034687707013
svr_wm_FC_PCA75,0.09600592248453765,0.09375173093906841,0.23560378699431495,0.2492665523589791,-0.028936202429839186,0.28723878167735806,0.3701528453870121,0.23444830144464346
xgb_VolBrain,-0.06672136041106191,0.05338298571260669,-0.029766871722254562,0.060205350302957705,-0.009450885896538308,0.03920151469129607,0.09489557625614586,0.02476016202180209
xgb_cort,0.028531027868205494,0.026999193077592243,-0.016781182006693873,-0.00036303363202616623,-0.0924764151691857,0.022542189799654277,-0.04946089050733016,0.005994482181876815
xgb_emo,0.023239367418710577,0.022071731423427554,0.046221127407941154,0.02530221621997597,0.01502782042776496,-0.04532840018317508,0.041384047942457425,0.02395111014910012
xgb_gam,0.07563513525402255,0.0072288508268164575,-0.019199676416866485,0.0033975067877034526,-0.0026199348389892574,-0.04159240657653873,-0.008315953605066095,-0.05350967793194572
xgb_gam_FC_PCA75,0.04283172264841684,0.02439619236202939,0.02908994297727696,0.02782914549490001,-0.02757696105353613,0.13054749867226945,0.17722028946634882,0.09980314314408434
xgb_lan,0.2284303857753568,-0.012399569485100903,0.2062245071331178,0.04968700428378259,-0.014862604428635962,0.10495300800602203,0.1314219080683552,0.12777834236014807
xgb_lan_FC_PCA75,0.16986153930820402,0.046444414183993143,0.051464993964175254,0.04094921154048892,-0.09130068872218056,0.13917227022697443,0.11915514098622237,0.11739715743848966
xgb_mot,0.05121502462224714,0.03206807517215271,0.04771840237409153,0.16009156333487307,0.08057854565741085,-0.03477070331341836,0.018744908811218486,0.07508860128256034
xgb_mot_FC_PCA75,0.08894877676046187,0.0021621074541358087,0.09858999413470926,0.015730519068995363,0.0029011387671349365,0.048636012716482435,0.06995183905985058,0.07113906227575906
xgb_rel,0.03277282881922006,0.041031175830427036,-0.025234400499069887,0.15113818919907862,0.1537032180070802,0.0783239923924891,0.1540618107210585,0.009264644246508746
xgb_rel_FC_PCA75,0.10772023622921545,0.06361325910766524,0.14882683289935383,0.08619596358424586,-0.01922136295628163,0.013658449286254037,-0.0008757299756287917,0.07176154013002867
xgb_rest_PCA75,-0.006095956336847008,0.007014491598131167,0.012677520470275594,0.048509965840132785,-0.07949673691858083,0.11190820577148375,0.10911539143345195,0.010330256409111338
xgb_soc,0.11689657268499087,0.03225185819338272,0.10745404924031066,0.05264312692247364,0.07570202416756355,0.06055858337948006,-0.0301409947149629,-0.016501044105022622
xgb_soc_FC_PCA75,0.19174639322768017,0.14347883907606873,0.11117896799154692,0.046577943479642836,0.10431631253901164,0.13794510402615445,0.18536713830926366,0.008411960565915755
xgb_subc,-0.051581958158188446,0.09153412504734515,0.03934732987367806,0.03405703512334479,-0.006317075294766328,0.03990498629297101,0.1064646406606039,-0.025815170284903877
xgb_surf,-0.036050178579295045,-0.037837143632761805,-0.0023557847823176825,0.1034824333251676,-0.008599456579464038,0.041528887863064856,0.060399509732988355,0.04376050824920419
xgb_wm,0.23729683336476315,0.18678632650537108,0.2390730147318103,0.1720320294408506,0.058813452827968016,0.0603838892515427,0.26662937221998795,0.2627907752658555
xgb_wm_FC_PCA75,0.10273653084393819,0.04160027998255489,0.19276726163087543,0.20234591415831815,-0.022516638941488587,0.12895156794236573,0.19275774557073322,0.26839739826329434
