,r2,mae,corr
svr_rf_set7,0.07725221713329665,0.7561461846370445,0.37157473647451006
svr_rf_set8,0.04458519416201111,0.7675877125155682,0.3337385299797403
svr_svr_set1,0.25122966579152467,0.6777827604748102,0.5109758156970589
svr_svr_set2,0.16912303678994173,0.7219705228195457,0.4362930985475811
svr_svr_set3,0.08885711471316611,0.7534699444221145,0.35042448358578
svr_svr_set4,0.06211136765122281,0.7518153709607204,0.32389675682653546
svr_svr_set5,0.1920861163885692,0.7061396138679115,0.4512047427205585
svr_svr_set6,0.23023245665295036,0.6898228774748691,0.48774087672598415
svr_svr_set7,0.08986262120270572,0.7494917413541876,0.3598302709013957
svr_svr_set8,0.04570546792861358,0.7659201978064327,0.3240271442463361
svr_xgb_set1,0.21579375596898823,0.6997049488029523,0.4800448773279492
svr_xgb_set2,0.1378287469154965,0.7328783980024286,0.4263057496731755
svr_xgb_set3,0.08073750655072996,0.7579777555926119,0.35359283454605384
svr_xgb_set4,0.03222844198659117,0.7631168634500091,0.3001196139775786
svr_xgb_set5,0.16020058358365552,0.7251245184483274,0.43803018247736275
svr_xgb_set6,0.1853067382803488,0.7170854407520567,0.4606765058077472
svr_xgb_set7,0.07085021093606172,0.7611410205098659,0.36828441440697535
svr_xgb_set8,0.041984641676299846,0.7713184583157966,0.3341953201657006
xgb_eNet_set1,0.15453885540312204,0.7243005628952874,0.41564049720492624
xgb_eNet_set2,0.11949171600281074,0.7409591232463858,0.3492178082738683
xgb_eNet_set3,0.0628964819375857,0.7654621494055313,0.29746675824294033
xgb_eNet_set4,-0.026645546775599795,0.7915734961334147,0.22211508572718558
xgb_eNet_set5,0.13201423067089216,0.7346535391733403,0.37002798060171843
xgb_eNet_set6,0.14061135314105735,0.7262821692102474,0.3825908546026759
xgb_eNet_set7,0.059060350389550216,0.765045814472901,0.27860195909006136
xgb_eNet_set8,0.039841068693563374,0.7761928832655404,0.2604724688362719
xgb_rf_set1,0.10374395318471993,0.7490884534158259,0.3272992305208101
xgb_rf_set2,0.07530804260360179,0.7627707272244814,0.3042323209371013
xgb_rf_set3,0.05092424116044406,0.7739326211035585,0.28825491050027285
xgb_rf_set4,-0.060499670143928985,0.8061654592324228,0.21602010333733673
xgb_rf_set5,0.09569620349468744,0.7524658732357282,0.3199163121657732
xgb_rf_set6,0.10626493634932306,0.7468261387491434,0.3268856116649665
xgb_rf_set7,0.03545359110781884,0.7783972498825545,0.26142165292350955
xgb_rf_set8,0.01758109929731701,0.7851875583256083,0.2466838239345587
xgb_svr_set1,0.13418146052430213,0.7357040441405046,0.36899223367780903
xgb_svr_set2,0.10203852431074076,0.7492475912501607,0.33264583186611674
xgb_svr_set3,0.049333349365869625,0.7697284476585068,0.28953566171490747
xgb_svr_set4,-0.04730424590044086,0.7994411271954164,0.21755706692848742
