name,label,r2,mae,corr
"Subcortical Volume, SVR",svr_subc,0.049,0.775,0.250
"Surface Area, SVR",svr_surf,0.047,0.775,0.256
"Total Brain Volume, XGB",xgb_brainVol,0.064,0.765,0.276
"Cortical Thickness, XGB",xgb_cort,0.003,0.794,0.140
"Facename: Encoding-Distractor, XGB",xgb_facename,0.125,0.742,0.384
"Facename FC, XGB",xgb_facename_FC_PCA75,0.048,0.773,0.255
"Emotion Processing Contrast, XGB",xgb_faces,0.021,0.785,0.210
"Emotion Processing FC, XGB",xgb_faces_FC_PCA75,0.008,0.791,0.163
"MID Contrast, XGB",xgb_mid,-0.048,0.822,0.037
"MID FC, XGB",xgb_mid_FC_PCA75,-0.001,0.796,0.185
"Resting State FC, XGB",xgb_rest_PCA75,0.029,0.781,0.221
"Stroop Contrast, XGB",xgb_stroop,0.046,0.776,0.262
"Stroop FC, XGB",xgb_stroop_FC_PCA75,0.050,0.772,0.267
"Subcortical Volume, XGB",xgb_subc,0.026,0.783,0.208
"Surface Area, XGB",xgb_surf,0.069,0.768,0.286
"Stacked: All, eNet+eNet",eNet_eNet_set1,0.290,0.664,0.549
"Stacked: Task Contrast, eNet+eNet",eNet_eNet_set2,0.187,0.718,0.459
"Stacked: Non Task, eNet+eNet",eNet_eNet_set3,0.124,0.736,0.380
"Stacked: Task FC, eNet+eNet",eNet_eNet_set4,0.043,0.765,0.275
"Stacked: Task Contrast & Task FC, eNet+eNet",eNet_eNet_set5,0.231,0.695,0.493
"Stacked: All excluding Task FC, eNet+eNet",eNet_eNet_set6,0.263,0.681,0.527
"Stacked: All excluding Task Contrast, eNet+eNet",eNet_eNet_set7,0.134,0.737,0.396
"Stacked: Resting and Task FC, eNet+eNet",eNet_eNet_set8,0.084,0.753,0.326
"Stacked: All, eNet+RF",eNet_rf_set1,0.283,0.671,0.543
"Stacked: Task Contrast, eNet+RF",eNet_rf_set2,0.181,0.718,0.453
"Stacked: Non Task, eNet+RF",eNet_rf_set3,0.089,0.748,0.350
"Stacked: Task FC, eNet+RF",eNet_rf_set4,0.064,0.755,0.292
"Stacked: Task Contrast & Task FC, eNet+RF",eNet_rf_set5,0.239,0.691,0.497
"Stacked: All excluding Task FC, eNet+RF",eNet_rf_set6,0.261,0.678,0.522
"Stacked: All excluding Task Contrast, eNet+RF",eNet_rf_set7,0.130,0.737,0.392
"Stacked: Resting and Task FC, eNet+RF",eNet_rf_set8,0.086,0.751,0.336
"Stacked: All, eNet+SVR",eNet_svr_set1,0.284,0.663,0.547
"Stacked: Task Contrast, eNet+SVR",eNet_svr_set2,0.184,0.719,0.462
"Stacked: Non Task, eNet+SVR",eNet_svr_set3,0.123,0.736,0.380
"Stacked: Task FC, eNet+SVR",eNet_svr_set4,0.061,0.760,0.296
"Stacked: Task Contrast & Task FC, eNet+SVR",eNet_svr_set5,0.230,0.694,0.495
"Stacked: All excluding Task FC, eNet+SVR",eNet_svr_set6,0.258,0.680,0.527
"Stacked: All excluding Task Contrast, eNet+SVR",eNet_svr_set7,0.119,0.741,0.386
"Stacked: Resting and Task FC, eNet+SVR",eNet_svr_set8,0.086,0.752,0.336
"Stacked: All, eNet+XGB",eNet_xgb_set1,0.272,0.673,0.537
"Stacked: Task Contrast, eNet+XGB",eNet_xgb_set2,0.172,0.720,0.456
"Stacked: Non Task, eNet+XGB",eNet_xgb_set3,0.101,0.745,0.362
"Stacked: Task FC, eNet+XGB",eNet_xgb_set4,0.051,0.761,0.290
"Stacked: Task Contrast & Task FC, eNet+XGB",eNet_xgb_set5,0.234,0.692,0.500
"Stacked: All excluding Task FC, eNet+XGB",eNet_xgb_set6,0.248,0.683,0.518
"Stacked: All excluding Task Contrast, eNet+XGB",eNet_xgb_set7,0.128,0.738,0.399
"Stacked: Resting and Task FC, eNet+XGB",eNet_xgb_set8,0.085,0.749,0.335
"Stacked: All, RF+eNet",rf_eNet_set1,0.149,0.735,0.515
"Stacked: Task Contrast, RF+eNet",rf_eNet_set2,0.139,0.737,0.412
"Stacked: Non Task, RF+eNet",rf_eNet_set3,0.067,0.768,0.290
"Stacked: Task FC, RF+eNet",rf_eNet_set4,0.065,0.766,0.292
"Stacked: Task Contrast & Task FC, RF+eNet",rf_eNet_set5,0.136,0.739,0.452
"Stacked: All excluding Task FC, RF+eNet",rf_eNet_set6,0.147,0.735,0.488
